Sample no.,X,Y
1199,22.04,117.77
1200,22.04,117.77
1201,22.04,117.77
1202,22.02,118.67
1203,22.02,118.67
1204,22.02,118.67
1205,22.02,118.67
1206,22.02,118.67
1207,22.02,118.67
1208,22.02,118.67
1209,22.02,118.67
1210,22.02,118.67
1211,22.02,118.67
1212,22.02,118.67
1213,22.02,118.67
1214,21.99,119.56
1215,22.02,118.67
1216,22.02,118.67
1217,22.02,118.67
1218,22.02,118.67
1219,22.02,118.67
1220,22.02,118.67
1221,22.02,118.67
1222,21.99,119.56
1223,21.99,119.56
1224,22.76,119.53
1225,22.76,119.53
1226,22.76,119.53
1227,22.76,119.53
1228,22.76,119.53
1229,22.76,119.53
1230,22.76,119.53
1231,22.76,119.53
1232,22.76,119.53
1233,22.76,119.53
1234,23.53,119.5
1235,23.51,120.39
1236,23.51,120.39
1237,23.49,121.29
1238,24.26,121.25
1239,24.24,122.15
1240,24.24,122.15
1241,23.44,123.08
1242,23.42,123.97
1243,23.42,123.97
1244,23.4,124.87
1245,23.37,125.76
1246,23.37,125.76
1247,23.34,126.65
1248,23.34,126.65
1249,23.32,127.54
1250,23.29,128.44
1251,23.26,129.33
1252,22.49,129.37
1253,22.46,130.26
1254,22.43,131.15
1255,22.4,132.04
1256,22.4,132.04
1257,22.37,132.93
1258,22.34,133.82
1259,22.34,133.82
1260,22.34,133.82
1261,22.31,134.71
1262,22.31,134.71
1263,22.31,134.71
1264,22.31,134.71
1265,22.31,134.71
1266,22.31,134.71
1267,23.05,135.55
1268,23.05,135.55
1269,23.05,135.55
1270,22.98,137.33
1271,23.69,139.06
1272,22.84,140.87
1273,22.8,141.75
1274,22.76,142.64
1275,22.72,143.52
1276,22.72,143.52
1277,22.69,144.4
1278,22.65,145.29
1279,22.65,145.29
1280,22.6,146.17
1281,22.56,147.05
1282,23.35,147
1283,23.3,147.88
1284,23.26,148.76
1285,23.17,150.51
1286,23.09,152.27
1287,22.95,154.89
1288,22.85,156.63
1289,22.75,158.38
1290,23.44,160.06
1291,23.34,161.8
1292,22.44,163.58
1293,22.39,164.45
1294,22.33,165.31
1295,22.28,166.18
1296,22.22,167.04
1297,22.22,167.04
1298,21.37,167.96
1299,22.17,167.9
1300,22.11,168.76
1301,21.31,168.82
1302,22.11,168.76
1303,21.31,168.82
1304,21.31,168.82
1305,22.11,168.76
1306,22.05,169.62
1307,22.05,169.62
1308,22.05,169.62
1309,21.99,170.48
1310,21.99,170.48
1311,22.79,170.42
1312,22.73,171.28
1313,22.67,172.14
1314,21.87,172.2
1315,22.67,172.14
1316,21.87,172.2
1317,22.67,172.14
1318,22.67,172.14
1319,22.61,172.99
1320,22.61,172.99
1321,22.61,172.99
1322,23.41,172.93
1323,23.41,172.93
1324,23.41,172.93
1325,23.41,172.93
1326,23.41,172.93
1327,24.21,172.87
1328,23.41,172.93
1329,23.41,172.93
1330,23.41,172.93
1331,22.61,172.99
1332,22.67,172.14
1333,21.81,173.05
1334,21.87,172.2
1335,21.81,173.05
1336,21.87,172.2
1337,21.81,173.05
1338,21.75,173.91
1339,21.81,173.05
1340,21.75,173.91
1341,21.69,174.76
1342,20.89,174.82
1343,20.89,174.82
1344,21.69,174.76
1345,20.89,174.82
1346,21.69,174.76
1347,20.82,175.68
1348,20.89,174.82
1349,20.89,174.82
1350,20.89,174.82
1351,20.89,174.82
1352,20.89,174.82
1353,21.75,173.91
1354,20.95,173.97
1355,20.95,173.97
1356,21.81,173.05
1357,21.81,173.05
1358,21.87,172.2
1359,21.87,172.2
1360,21.87,172.2
1361,21.87,172.2
1362,22.73,171.28
